optimizer_step,id_validation_loss,id_task_accuracy,ood_task_accuracy,id_parse_rate,ood_parse_rate,id_valid_formula_rate,ood_valid_formula_rate,id_task_n,ood_task_n,evaluation_mode
10,0.8348695966090353,0.0,0.0,0.002,0.014,0.002,0.014,500,500,FULL
30,0.500762015346019,0.008,0.026,1.0,1.0,0.808,0.8,500,500,FULL
50,0.29388756792273063,0.022,0.018,1.0,1.0,0.954,0.948,500,500,FULL
70,0.22941208593547344,0.024,0.008,1.0,1.0,0.944,0.904,500,500,FULL
90,0.20443022159768284,0.032,0.004,0.998,1.0,0.93,0.888,500,500,FULL
110,0.19372908927457305,0.026,0.004,1.0,1.0,0.936,0.896,500,500,FULL
130,0.18834340205786465,0.028,0.006,1.0,1.0,0.956,0.896,500,500,FULL
150,0.18548241265987714,0.026,0.008,1.0,1.0,0.952,0.902,500,500,FULL
170,0.18469056071987328,0.028,0.008,1.0,1.0,0.958,0.914,500,500,FULL
190,0.18436960503620012,0.028,0.012,1.0,1.0,0.952,0.902,500,500,FULL
